adrenal gland;;;;;;;;;;
adrenal gland;chromaffin cell of adrenal gland (CL:1000426);;;;;;;;;
heart;His-Purkinje system cell (CL:0010007);atrioventricular bundle cell (CL:0010005);transitional myocyte of atrioventricular bundle (CL:1000481);transitional myocyte of right branch of atrioventricular bundle (CL:1000371);;;;;;
heart;His-Purkinje system cell (CL:0010007);atrioventricular bundle cell (CL:0010005);transitional myocyte of atrioventricular bundle (CL:1000481);transitional myocyte of atrial part of atrioventricular bundle (CL:1000372);;;;;;
heart;His-Purkinje system cell (CL:0010007);atrioventricular bundle cell (CL:0010005);transitional myocyte of atrioventricular bundle (CL:1000481);transitional myocyte of ventricular part of atrioventricular bundle (CL:1000373);;;;;;
heart;His-Purkinje system cell (CL:0010007);atrioventricular bundle cell (CL:0010005);Purkinje myocyte of atrioventricular bundle (CL:1000484);;;;;;;
heart;cardiac endothelial cell (CL:0010008);;;;;;;;;
heart;cardiac endothelial cell (CL:0010008);endocardial cell (CL:0002350);;;;;;;;
heart;cardiac endothelial cell (CL:0010008);cardiac blood vessel endothelial cell (CL:0010006);;;;;;;;
heart;cardiac glial cell (CL:0010020);;;;;;;;;
heart;cardiac neuron (CL:0010022);;;;;;;;;
heart;epicardial adipocyte (CL:1000309);;;;;;;;;
heart;epicardial adipocyte (CL:1000309);adipocyte of epicardial fat of right ventricle (CL:1000310);;;;;;;;
heart;epicardial adipocyte (CL:1000309);adipocyte of epicardial fat of left ventricle (CL:1000311);;;;;;;;
heart;myocyte of sinoatrial node (CL:1000409);;;;;;;;;
heart;myocyte of sinoatrial node (CL:1000409);cardiac pacemaker cell of sinoatrial node (CL:1000477);;;;;;;;
heart;myocyte of sinoatrial node (CL:1000409);transitional myocyte of sinoatrial node (CL:1000478);;;;;;;;
heart;cardiac septum native cell (CL:2000022);;;;;;;;;
heart;cardiac septum native cell (CL:2000022);transitional myocyte of interatrial septum (CL:1000361);;;;;;;;
heart;cardiac septum native cell (CL:2000022);transitional myocyte of interventricular septum (CL:1000362);;;;;;;;
heart;cardiac septum native cell (CL:2000022);Purkinje myocyte of interventricular septum (CL:1000376);;;;;;;;
heart;cardiac septum native cell (CL:2000022);myocyte of atrioventricular node (CL:1000410);;;;;;;;
heart;cardiac septum native cell (CL:2000022);myocyte of atrioventricular node (CL:1000410);Purkinje myocyte of atrioventricular node (CL:1000479);;;;;;;
