UBERON_0004398;epiphysis of fourth metatarsal bone
UBERON_0004399;epiphysis of fifth metatarsal bone
UBERON_0004400;bone tissue of epiphysis
UBERON_0004403;periosteum of epiphysis
UBERON_0010388;proximal segment of rib
UBERON_0002230;head of rib
UBERON_0002231;body of rib
UBERON_0002235;tubercle of rib
UBERON_0010424;distal segment of rib
UBERON_0006805;sternal end of clavicle
UBERON_0013069;popliteal area
UBERON_0016497;epicondyle of humerus
UBERON_0005342;malleus head
UBERON_0006326;base of arytenoid
UBERON_0006776;annular epiphysis
UBERON_0006811;occipital condyle
UBERON_0006837;tegmen tympani
UBERON_0007170;squamous part of occipital bone
UBERON_0013469;external occipital protuberance
UBERON_0007172;angle of scapula
